grade,samplename
A,KZ00222
A,KZ00224
A,KZ00226
A,KZ00227
A,KZ00233
A,KZ00237
A,KZ00252
A,KZ00258
A,KZ00259
A,KZ00261
A,KZ00262
A,KZ00264
A,KZ00265
A,KZ00270
A,KZ00271
A,KZ00272
A,KZ00273
A,KZ00275
A,KZ00276
A,KZ00277
A,KZ00278
A,KZ00279
A,KZ00282
A,KZ00284
A,KZ00285
A,KZ00286
A,KZ00287
A,KZ00288
A,KZ00289
A,KZ00291
A,KZ00293
A,KZ00296
A,KZ00297
A,KZ00301
A,KZ00315
A,KZ00319
A,KZ00333
A,KZ00335
A,KZ00336
A,KZ00339
A,KZ00340
A,KZ00341
A,KZ00343
A,KZ00358
A,KZ00359
A,KZ00362
A,KZ00383
A,KZ00387
A,KZ00389
A,KZ00403
A,KZ00404
A,KZ00405
A,KZ00421
A,KZ00422
A,KZ00486
A,KZ00487
A,KZ00488
A,KZ00490
A,KZ00495
A,KZ00496
A,KZ00498
A,KZ00501
A,KZ00510
A,KZ00512
A,KZ00515
A,KZ00522
A,KZ00523
A,KZ00524
A,KZ00545
A,KZ00568
A,KZ00590
A,KZ00591
A,KZ00592
A,KZ00594
A,KZ00595
A,KZ00597
A,KZ00598
A,KZ00599
A,KZ00600
A,KZ00601
A,KZ00604
A,KZ00605
A,KZ00606
A,KZ00608
A,KZ00622
A,KZ00627
A,KZ00630
B,KZ00217
B,KZ00218
B,KZ00219
B,KZ00256
B,KZ00260
B,KZ00263
B,KZ00268
B,KZ00316
B,KZ00317
B,KZ00320
B,KZ00324
B,KZ00344
B,KZ00356
B,KZ00357
B,KZ00511
B,KZ00593
B,KZ00596
B,KZ00607
B,KZ00621
C,KZ00209
C,KZ00216
C,KZ00220
C,KZ00221
C,KZ00223
C,KZ00246
C,KZ00294
C,KZ00295
C,KZ00318
C,KZ00321
C,KZ00322
C,KZ00323
C,KZ00325
C,KZ00326
C,KZ00327
C,KZ00328
C,KZ00329
C,KZ00330
C,KZ00331
C,KZ00332
C,KZ00345
C,KZ00346
C,KZ00388
C,KZ00489
C,KZ00585
C,KZ00586
C,KZ00587
C,KZ00588
C,KZ00623
C,KZ00624
C,KZ00625
C,KZ00626
C,KZ00628
C,KZ00629
