古材番号,寺社名称,建築物名称,部材名,樹種名,位置
KZ00001,法隆寺　,五重塔,垂木,ヒノキ,"34.61438,135.73405"
KZ00002,法隆寺　,五重塔,通肘木,ヒノキ,"34.61438,135.73405"
KZ00003,法隆寺　,五重塔,通肘木,ヒノキ,"34.61438,135.73405"
KZ00004,法輪寺　,三重塔,柱,ヒノキ,"34.622344,135.738771"
KZ00005,法輪寺　,三重塔,垂木,ヒノキ,"34.622344,135.738771"
KZ00006,極楽院　,本堂　,垂木,ヒノキ,空也堂極楽院？
KZ00007,極楽院　,本堂　,内法貫,ヒノキ,-
KZ00008,極楽院　,本堂　,柱,ヒノキ,-
KZ00009,極楽院　,本堂　,柱,ヒノキ,-
KZ00010,極楽院　,本堂　,柱,ヒノキ,-
KZ00011,極楽院　,本堂　,斗,ヒノキ,-
KZ00012,平等院　,鳳凰堂,垂木,ヒノキ,"34.889297,135.807637"
KZ00013,平等院　,鳳凰堂,垂木,ヒノキ,"34.889297,135.807637"
KZ00014,平等院　,鳳凰堂,垂木,ヒノキ,"34.889297,135.807637"
KZ00015,平等院　,鳳凰堂,小屋材,ヒノキ,"34.889297,135.807637"
KZ00016,法華寺　,本堂　,肘木,ヒノキ,"34.83571,135.750197"
KZ00017,大報恩寺,本堂　,柱,ヒノキ,"35.031859,135.739868"
KZ00018,蓮華王院,本堂　,梁,ヒノキ,"34.987849,135.771704"
KZ00019,蓮華王院,本堂　,桁,ヒノキ,"34.987849,135.771704"
KZ00020,法隆寺　,五重塔,垂木,ヒノキ,"34.61438,135.73405"
KZ00021,法隆寺　,五重塔,柱,ヒノキ,"34.61438,135.73405"
KZ00022,法隆寺　,五重塔,柱,ヒノキ,"34.61438,135.73405"
KZ00023,極楽院　,本堂　,貫,ヒノキ,-
KZ00024,建仁寺,勅使門,破風,ヒノキ,"34.999078,135.773357"
KZ00025,建仁寺,勅使門,実肘木,ヒノキ,"34.999078,135.773357"
KZ00026,建仁寺,勅使門,実肘木,ヒノキ,"34.999078,135.773357"
KZ00027,建仁寺,勅使門,裏甲,ヒノキ,"34.999078,135.773357"
KZ00028,燈明寺,本堂　,肘木,ヒノキ,"35.030038,135.74131"
KZ00029,妙心寺,小方丈,柱,ヒノキ,"35.023161,135.720528"
KZ00030,教王護国寺,室慈　,野地板,ヒノキ,室慈？
KZ00031,教王護国寺,室慈　,柱,ヒノキ,-
KZ00032,鹿苑寺,金閣　,柱,ヒノキ,"35.039513,135.728453"
KZ00033,鹿苑寺,金閣　,床板,ヒノキ,"35.039513,135.728453"
KZ00034,二条城,米慈　,貫,ヒノキ,-
KZ00035,二条城,米慈　,大曳,ヒノキ,-
KZ00036,二条城,米慈　,床束,ヒノキ,-
KZ00037,二条城,米慈　,柱下支物　,ヒノキ,-
KZ00038,法隆寺　,五重塔,柱,ヒノキ,"34.61438,135.73405"
KZ00039,法隆寺　,五重塔,柱,ヒノキ,"34.61438,135.73405"
KZ00040,法隆寺　,五重塔,柱,ヒノキ,"34.61438,135.73405"
KZ00041,教王護国寺,○○　,柱,ヒノキ,建築物名称不明
KZ00042,教王護国寺,南大門,柱,ヒノキ,"34.979533,135.7477"
KZ00043,教王護国寺,南大門,扉框,ヒノキ,"34.979533,135.7477"
KZ00044,高台寺,間山堂,柱,ヒノキ,"35.000957,135.781695"
KZ00045,蓮華王院,本堂　,○　,ヒノキ,"34.987849,135.771704"
KZ00046,円満院　,宸殿　,○○　,ヒノキ,"35.014248,135.853394"
KZ00047,円満院　,宸殿　,小屋束,ヒノキ,"35.014248,135.853394"
KZ00048,円満院　,宸殿　,小屋束,ヒノキ,"35.014248,135.853394"
KZ00049,円満院　,宸殿　,裏甲,ヒノキ,"35.014248,135.853394"
KZ00050,延暦寺　,根本中堂　,大曳,ヒノキ,"35.070493,135.841033"
KZ00051,金地院　,八窓席,○○　,ヒノキ,"35.01032,135.79045"
KZ00052,建仁寺　,勅使門,柱,ヒノキ,"34.999078,135.773357"
KZ00053,仁和寺　,五重塔,裏甲,ヒノキ,"35.030215,135.714511"
KZ00054,妙法院　,大書院,縁木　,ヒノキ,"34.990277,135.775528"
KZ00055,仁和寺　,―,野地板,ヒノキ,建築物名称不明
KZ00056,燈明寺　,本堂　,○○　,マツ,"35.030038,135.74131"
KZ00057,燈明寺　,本堂　,○○　,マツ,"35.030038,135.74131"
KZ00058,法華寺　,本堂　,束,マツ,"34.83571,135.750197"
KZ00059,大報恩寺,本堂　,○　,マツ,"35.031859,135.739868"
KZ00060,教王護国寺,南大門,○　,マツ,"34.979533,135.7477"
KZ00061,教王護国寺,講堂　,○　,マツ,"34.980783,135.747686"
KZ00062,教王護国寺,講堂　,大○　,マツ,"34.980783,135.747686"
KZ00063,円満院　,宸殿　,根太,マツ,"35.014248,135.853394"
KZ00064,円満院　,宸殿　,小屋材,マツ,"35.014248,135.853394"
KZ00065,法華寺　,本堂　,小屋梁,マツ,"34.83571,135.750197"
KZ00066,法華寺　,本堂　,大○　,マツ,"34.83571,135.750197"
KZ00067,法華寺　,本堂　,母屋,マツ,"34.83571,135.750197"
KZ00068,金地院　,八窓席,桁,マツ,"35.01032,135.79045"
KZ00069,大報恩寺,本堂　,小屋材,マツ,"35.031859,135.739868"
KZ00070,妙法院　,大書院,○　,マツ,"34.990277,135.775528"
KZ00071,仁和寺　,五重塔,○木　,マツ,"35.030215,135.714511"
KZ00072,仁和寺　,五重塔,土居○,マツ,"35.030215,135.714511"
KZ00073,西本願寺,黒書院,柱,マツ,"34.991375,135.751704"
KZ00074,勧修寺　,書院　,小屋材,マツ,"34.961793,135.807613"
KZ00075,妙心寺　,小方丈,○木　,マツ,"35.023154,135.720535"
KZ00076,極楽院　,本堂　,○　,ケヤキ,-
KZ00077,二条城　,唐門　,扉框,ケヤキ,"35.012682,135.750323"
KZ00078,法華寺　,本堂斗,本堂斗,ケヤキ,"34.83571,135.750197"
KZ00079,清水寺　,本堂舞台,○,ケヤキ,"34.9947,135.785068"
KZ00080,観音寺　,本堂　,柱,ケヤキ,場所不明
KZ00081,延暦寺　,根本中,畳,ケヤキ,"35.070493,135.841033"
KZ00082,光明寺　,本堂　,○　,スギ,同名の寺が複数存在
KZ00083,金地院　,八窓席,柱,スギ,"35.01032,135.79045"
KZ00084,西本願寺,黒書院,柱,スギ,"34.991375,135.751704"
KZ00085,西本願寺,黒書院,小屋梁,ツガ,"34.991375,135.751704"
KZ00086,西本願寺,黒書院,小屋材,ツガ,"34.991375,135.751704"
KZ00087,観音寺　,本堂　,向拝○,ツガ,場所不明
KZ00088,妙心寺　,小方丈,○木　,クリ,"35.023154,135.720535"
KZ00089,二条城　,米○　,柱根継,クリ,建築物名称不明
KZ00090,光明寺　,本堂　,懸○　,クリ,場所不明
KZ00091,二条城　,米○　,柱,トガサワラ,建築物名称不明
KZ00092,法隆寺　  　 ,五重塔　　,心柱　（二本目）,ヒノキ,"34.61438,135.73405"
KZ00093,法隆寺　  　 ,五重塔　　,心柱　（二本目継手）,ヒノキ,"34.61438,135.73405"
KZ00094,法隆寺　  　 ,五重塔　　,四層通肘木鼻,ヒノキ,"34.61438,135.73405"
